微博id,微博正文,发布时间,点赞数,转发数,评论数
NoRFPvngu,小鹏的自动泊车和停车场记忆泊车，经过了几次更新迭代，更加成熟了。下周#1024小鹏汽车科技日# 又会带来一些新的技术和功能。这次用小鹏G6 完整演示一遍，从记录到使用，因为有激光雷达，扫描停车场过程更快，更准，而且可以跨楼层记忆。实际使用的时候速度也比以前快了不少，确实更好用了，下班回...全文 ,2023-10-21 12:47,242,133,190
NoKSFhUX5,MIUI 公众号正式更名为「小米澎湃OS」简介：「以人为中心，打造人车家全生态操作系统」  [组图共2张] 原图 ,2023-10-20 19:30,275,76,164
NoKAMcoCi,iPhone 15 系列、iPhone 15 Pro 系列的官方尺寸图更新了。  [组图共12张] 原图 ,2023-10-20 18:45,334,121,169
NoK7yAWwP,理想 MEGA 的真车实拍照片来了，感觉越看越顺眼。  [组图共4张] 原图 ,2023-10-20 17:33,295,79,199
NoJSJ9wqB,微博已经在测试前台实名制功能了，效果如图，微博CEO先试水。  原图 ,2023-10-20 16:57,463,82,206
NoJkLqAID,iPhone 15 的后置主摄技术比 iPhone 15 Pro 后置主摄更先进，用上了索尼的 Exmor T 工艺，但实际效果并没有比 15 Pro 更好。应该是先试试水，等明年再给 Pro 系列上？  原图 ,2023-10-20 15:33,253,76,169
NoItfmUnL,OPPO这个小矮胖折叠屏绝版了，但依然没有给新的折叠加上无线充电，唯一的可惜。  [组图共3张] 原图 ,2023-10-20 13:21,324,77,196
NoHSTx7uk,OnePlus 新机又要用一块儿行业内遥遥领先的屏幕？  原图 ,2023-10-20 11:52,262,76,182
NoHzcAVw5,跳水冠军 三星 Galaxy S23 Ultra ，直降 3000 元，从 ¥8999 降到 ¥5999，还能 6 期免息，感兴趣的小伙伴可以剁手了。三星 SAMSUNG Galaxy S23 Ultra 超视觉夜拍 稳劲性能 大屏S Pen书写 8GB+256GB 悠远黑  5G  [组图共4张] 原图 ,2023-10-20 11:03,261,84,214
NoBY2m0aT,上周去广州感受了一下新车 昊铂HT，虽然是定位家庭用车，但竟然给配了特斯拉 Model X 同款的电动鸥翼门，太狠了。静态体验的感受，车内空间很大，座椅很舒服，而且后排还有小桌板和天王座驾，有点意思。车型有400V，800V和换电的版本，也有激光雷达，支持高阶辅助驾驶。盲猜应该也是30W的价位段...全文 ,2023-10-19 20:48,1561,91,228
NoBj9pVKl,把U盘做成解压玩具是吧。  原图 ,2023-10-19 19:07,216,72,157
NoAnaAfhv,OPPO Find N3 日志金 #TECHMAN图赏# 轻至 239g，薄至 5.8mm全新折叠像素传感器 双倍感光全景虚拟屏 大屏应用三开 多任务快速切换内外双钻石屏 动态峰值亮度2800nit折叠次数超过100万次#OPPO Find N3发布会# #新机来了#  [组图共9张] 原图 ,2023-10-19 16:44,200,33,169
NoA2LA9l7,OPPO Find N3 正式发布12+512GB，¥9999典藏版 16+1TB，¥12999#OPPO Find N3发布会#  原图 ,2023-10-19 15:54,260,79,201
