微博id,微博正文,发布时间,点赞数,转发数,评论数
NoBIpdEOB,话说回来，有喜欢OPPO  Find N系列前两代“小胖”风格这种横折吗？工作室有个小伙伴是N2用户，下午看到他桌子上手机借过来和N3拍个合影，个头差异还是挺明显的  原图 ,2023-10-19 20:10,982,10,196
NoBy4xGVf,两台典藏版合个影#小白测评[超话]#  原图 ,2023-10-19 19:44,1771,13,196
NoBmFuiOy,OPPO Find N3充电续航表现如何？数据库实测：1、4805mAh电池，2484*1116/2440*2268（外内）分辨率，120Hz/120Hz刷新率，三小时折叠屏专项续航测试电量剩余59%，五小时折叠屏专项续航测试电量剩余6%，极限续航测试直到关机，Find N3共坚持5小时36分钟；2、67W有线充电：25℃标准测试环境中，峰值功率57W，10分钟充入34%，39分钟前台充入100%（实际充入92.55%），64分钟完全充满。#小白测评数据库# 环境温25℃±0.5℃，屏幕亮度350nit，声音50%（5小时重度续航、极限续航测试：性能模式）(数据基于 OPPO Find N3 测试时最新版PHN110_13.2.0.92(CN01) 系统测试)             [组图共4张]      原图                             ,2023-10-19 19:16,386,6,93
NoAzFn9fL,OPPO Find N3手里没黑色，就绿色金色红色三台里选的话，绿色很加味儿，金色雅致，红色很带感  [组图共3张] 原图 ,2023-10-19 17:15,1054,14,166
NoAl1klz7,#小白小调查# OPPO Find N3正式发布后，各家大折叠你会怎么选？综合配置价格哪台最吸引你？ 大折叠综合考量你会选哪台？  ,2023-10-19 16:39,9551,12,165
NoA5EvpbI,#OPPO发布会#OPPO Find N3三个颜色真机实拍千山绿/日志金（玻璃后盖）赤壁丹霞·典藏版（红色素皮）12+512版9999元，16+1TB典藏版12999元，这波打几分？测评视频👉🏻网页链接  [组图共18张] 原图 ,2023-10-19 16:01,757,13,188
NoA10lRVb,#OPPO发布会# OPPO Find N3正式发布12+512GB版售价9999元16GB+1TB典藏版售价12999元这价格如何？典藏版提供尊享VIP模式，三段式开关一键启动，进一步保护隐私。  [组图共6张] 原图 ,2023-10-19 15:50,3368,17,395
NozSLtH4A,「小白」OPPO Find N3测评：除了变大 还卷了啥？OPPO Find N3终于来了，除了变大，又在折叠屏中卷了什么？作为OPPO的第三款大折叠旗舰实测表现如何？~各位记得点赞转发，感谢啦！#OPPO Find N3发布会# #小白测评# 小白测评的微博视频  ,2023-10-19 15:30,4775,1120,774
NozNDbNP6,#OPPO Find N3发布会# OPPO文件随心开好评支持打开40多种文件格式 包括苹果生态的三件套都可以打开阅览 另外还有文件任意门、随身工作台、全景虚拟屏  [组图共9张] 原图 ,2023-10-19 15:17,59,1,30
NozzT5r55,#OPPO Find N3发布会# 张老板对比折痕左右两台折叠屏分别是友商哪台  原图 ,2023-10-19 14:43,1363,6,182
Nozw4Fz24,OPPO Find N3发布会开始了~有在看直播的吗？  原图 ,2023-10-19 14:34,230,4,62
NoyeRg1uA,Counterpoint更新的iPhone 15系列初步销售数据iPhone 15系列在中国发售后17天的销量与iPhone 14同期相比下降4.5%；如果排除去年较往期晚了三周发布的iPhone Plus的影响，销量降幅超过10%；相反，美国市场前9天的iPhone 15销售数据显示销量整体增长达两位数，基础款、Pro（尤其是Pro Max）机型需求表现稳健。分析师称“iPhone 15系列在中国的整体数据表现不佳，反映了消费者支出整体下滑。但节前消费时间缩短，加上Pro Max供应不匹配（消费者不喜欢蓝色机型），可能会将部分需求推迟至第四季度。”                  原图                             ,2023-10-19 11:18,359,11,91
NoxYR2Bij,OPPO Find N3今天下午就发布了，老规矩，来猜个起售价（需带上存储版本），评论区第一个猜对的送个小红包  原图 ,2023-10-19 10:39,1320,23,1032
NoxTOAGNZ,#小米14# 小米14系列官宣 本月发布全新一代光学系统方案，以及移动影像领域迄今为止最完美的徕卡Summilux镜头，将首次应用于小米14系列。 之前预热的还有首发搭载新系统：小米澎湃OS。  原图 ,2023-10-19 10:27,926,10,266
NoxKObpRQ,魅族 20 Classic 官宣三款新配色 新增16GB内存后盖加入了魅族新logo元素这外观如何？  原图 ,2023-10-19 10:04,702,12,219
NosyMDpnm,#4090禁售#啊这  原图 ,2023-10-18 20:51,1899,36,360
NormvjoW3,有iPhone 15系列小伙伴遇到烧屏问题吗？iOS 17.1 RC版更新里显示将修复可能导致显示图像持久性的问题  [组图共2张] 原图 ,2023-10-18 17:48,250,9,89
Nor7dn4kx,evleaks爆料这次小米14系列（14和14 Pro）均将配备全新的徕卡Summilux镜头，据说是该公司有史以来使用过的最好镜头。*小米MIXFold3、小米13 Ultra是Summicron徕卡光学镜头。#新品情报站#  原图 ,2023-10-18 17:10,1065,9,310
NoqzAqQIG,给15 Pro Max换个锁屏壁纸  原图 ,2023-10-18 15:48,824,10,230
NopnP3RzW,已经看过小米澎湃OS界面的小伙伴来说说感觉怎么样  ,2023-10-18 12:46,3269,12,463
NooqOF0gP,#iPad国行首次支持eSIM#iPad 10新增eSIM，那iPad mini 7应该也会支持吧？有没有在等的小伙伴？工作室的mini 6蜂窝版忠实用户已经准备出二手了  原图 ,2023-10-18 10:20,269,12,148
NookjoLaa,21不是快了吗？魅族20新设计是？  原图 ,2023-10-18 10:04,661,6,206
NooeJgUnM,华为Mate 60 Pro推送126新版本新增 AI 云增强功能，优化部分场景的通信体验，优化整机系统稳定性～  [组图共2张] 原图 ,2023-10-18 09:51,406,11,116
NoocteeMk,#iPad国行首次支持eSIM##iPad eSIM#昨晚苹果宣布iPad 10无线局域网 + 蜂窝网络机型首次在大陆支持eSIM ， 10月19日起接受预订，25日起正式发售。目前仅中国联通的特定套餐才行，具体联通eSIM详细资费见图2，iPad包年最低300元/年（300G流量），副卡包月最低30元/月（15G流量）。这价格怎么样？  [组图共3张] 原图 ,2023-10-18 09:45,189,5,77
NojLj4K7v,开始测第一台8G3手机，改变确实很大，记得看黑色 东莞  显示地图 ,2023-10-17 22:27,5397,26,514
NojhA4A4r,#iPad eSIM#苹果突然上新品了新款 Apple Pencil 发布和iPad 10更新iPad 10无线局域网 + 蜂窝网络机型首次在大陆支持 eSIM ，将于 10 月 19 日起接受预订，10 月 25 日起正式发售。（中国大陆发售的iPad首次支持eSIM，目前仅中国联通的特定套餐才行）Apple Pencil 3哑光外观设计，平直侧边可通过磁力吸附于 iPad 侧面以轻松保管，使用 USB-C 连接线进行配对与充电，支持所有C口iPad，将于 11 月初开始发售，649元（教育优惠价569元）             [组图共4张]      原图                             ,2023-10-17 21:14,378,13,128
NoiSku3oo,十代SoC的性能相差有多大？网页链接最近做骁龙十代处理器发展史，测试从骁龙800到8Gen2的CPU单核成绩表现，单从数值上十代性能增加了735.2%：从骁龙800到845增加150.2%，845到8Gen2则提升了233.7%。搭载骁龙8Gen3的新旗舰们马上就来了，大家最期待哪款新机？#小白测评数据库# （数据都基于小米手机测试，由于部分机器过老，测试的数据可能存在一定差异，仅供参考。）                  原图                             ,2023-10-17 20:12,317,15,108
Noiou5KMj,「小白Vlog」旁听苹果“智慧教室”一节课  库克听课很认真！ 小白测评的微博视频  ,2023-10-17 18:58,1610,86,66
NohT8lW3b,#星巴克小杯# 星巴克有小杯款了不知道罗老师会要小杯 中杯 大杯 超大杯里面的哪个图4和瑞幸比下杯型大小  [组图共4张] 原图 ,2023-10-17 17:41,670,40,161
NohqwxJrY,研究机构Canalys发布2023年第三季度（7-9月）全球智能手机市场数据：整体出货量仅下降1%，全球TOP5依次是：❶三星（20%份额）❷苹果（17%）❸小米（14%）❹OPPO（9%）❺传音（9%）。传音连续第二个季度坐稳全球第五了 #新品情报站#  [组图共2张] 原图 ,2023-10-17 16:31,1300,11,359
NogHfpxBn,库老师上课很认真  原图 ,2023-10-17 14:39,787,11,111
NogBHp47K,"#苹果宣布新增2500万元捐款# Apple 宣布将通过与中国乡村发展基金会合作，进一步增加其对中国帮扶农人、赋能学生，振兴社区的支持。将向中国乡村发展基金会捐款 2,500 万元人民币，这是基于 Apple 与中国乡村发展基金会过去十年来在支持中国当地社区领域的合作。该新增的捐助将用于帮助农人学习新的技能以发展业务，并提供技术和数字化教育资源为乡村地区的学生和教师赋能。                  原图                             ",2023-10-17 14:25,835,12,192
NofCYesqf,#MIUI#做了张图再见 MIUI你好 澎湃OS  原图 ,2023-10-17 11:56,2451,24,415
Nofw7zQxQ,#iPhone15Pro被曝生产成本523美元# 日本Fomalhaut Techno Solutions拆解报告分析iPhone 15 Pro Max的物料成本约558美元，比14 Pro Max高12%。而iPhone 15、15 Plus、15 Pro的物料成本预计分别为423美元、442美元、523美元，相比上代分别高出16%、10%、8%。*物料成本主要指硬件成本，不算上研发成本、生产成本、营销成本等等，仅供参考。             [组图共2张]      原图                             ,2023-10-17 11:39,877,18,289
NofpRkuU3,回顾下历代MIUI，你对哪代印象最深？图源水印  原图 ,2023-10-17 11:23,1020,44,333
NoflDjWs5,#雷军称小米澎湃OS将逐步接替MIUI#澎湃OS启用也意味着是时候跟MIUI说再见了图3是雷总手持小米14，系统界面已经变成了HyperOS，手机套着保密壳看不清楚边框，预测很窄  [组图共3张] 原图 ,2023-10-17 11:13,2050,22,387
Nof9c1Ab1,#李想# 晒图 理想首款纯电、MPV车型MEGA官图来了造型还是很大胆的一切为了降低能耗考虑。纯电车型的续航还是大问题，何况MPV车型的撞风面积大，降低风阻，用小轮胎效果最直接。MEGA这个外观设计大家能打几分？  [组图共2张] 原图 ,2023-10-17 10:42,359,9,112
Nof2ky9pH,雷军长文介绍#小米澎湃OS# 👇🏻小米启用的全新操作系统小米澎湃OS（Xiaomi HyperOS）是「以人为中心，打造人车家全生态操作系统」，基于深度进化的Android以及自研的Vela系统融合，彻底重写底层架构，为未来百亿设备、百亿连接做好了万物互联的公有底座。  [组图共2张] 原图 ,2023-10-17 10:25,2311,28,584
NoeUjtNI2,小米全新操作系统来了！正式命名官宣：#小米澎湃OS#（英文名是Xiaomi HyperOS），正式版已完成封包。雷军称：小米14系列将是第一款搭载新系统的手机，已交付工厂正式开始生产。从这刻起，小米澎湃OS 正式启用，将逐步接替 MIUI。  原图 ,2023-10-17 10:06,2286,28,467
NodEevrOo,又是一天没人比我早的早上好  ,2023-10-17 06:53,511,8,163
No9fyu3m1,#你觉得手机性能过剩了吗# #你觉得手机性能过剩了吗#   ,2023-10-16 19:42,19457,18,248
No8A9cLDE,「小白」10年手机性能翻30倍 体验翻多少？骁龙处理器进化史#你觉得手机性能过剩了吗# 十年以来，安卓手机SoC的性能到底提升了多少？相信很多人都很好奇。安卓SOC阵营有麒麟有联发科有三星，但如果非要选出一个代表的话，那应该还是保有量最大的骁龙，本期我们就以骁龙8系芯片的10年性能提升为引，和大家再聊一聊性能的提升能否带来成倍的体验提升以及为什么对性能提升感知不强等问题，又是海量数据，记得点赞收藏～感谢啦#小白测评# 小白测评的微博视频                                 ,2023-10-16 18:00,5394,988,573
No8zcEZxS,关于小米全新自研系统的命名：MIOS、MiOS、CNMIOS、MinaOS都错了。  原图 ,2023-10-16 17:57,2231,22,500
No8bQftWC,传言苹果或本周发布新款iPad，但彭博社记者Mark Gurman认为不会在本月发布，另外MacOTAKARA认为，苹果将会推出Apple Pencil 3，将配备可更换的磁铁笔尖。大家觉得这个月会有新iPad吗？#新机来了#  原图 ,2023-10-16 17:00,219,13,84
No7ewzUH1,#雷军 别着急这次产品很很很强#雷总 小米14能搞快点吗  [组图共2张] 原图 ,2023-10-16 14:33,1260,15,200
No6oeFWzf,#华为 谢霆锋# 非凡大师刘德华MateX5谢霆锋华为貌似还找谢霆锋拍了部微电影《锋行任务》[春游家族]  原图 ,2023-10-16 12:25,2458,34,263
No68Ju6tc,#小米14#网传10.27发布首发骁龙8 Gen3 还有全新自研OS这周应该要预热了吧  原图 ,2023-10-16 11:46,4253,42,459
No5F3FAjW,realme UI 5.0尝鲜版升级计划公布基本机型都有看看你的在第几批  原图 ,2023-10-16 10:33,241,13,130
No5Aqru7q,vivo 开发者大会官宣 11 月 1 日vivo自研AI大模型OriginOS 4还有自研操作系统  原图 ,2023-10-16 10:22,638,3,153
No5gKmjEN,骁龙8 Gen3来了  原图 ,2023-10-16 09:33,1633,29,364
No0pQiVxl,#小白小调查# 双11你打算换机吗？ 双11你打算换机吗  ,2023-10-15 21:12,22662,20,342
NnZZnmr28,破6W了  原图 ,2023-10-15 20:07,1288,15,258
NnZsWgrMF,谷歌Pixel 8系列貌似因为Tensor G3性能表现不佳禁止用户安装测试软件 图2-4是其他媒体实测表现。  [组图共6张] 原图 ,2023-10-15 18:47,531,12,153
NnZ1y4XJj,买车选纯电可能有里程焦虑，选燃油又觉得经济性不足，混动算是比较适中的选择。顺滑切入燃油车市场，综合考虑续航、用车成本等因素，只买一辆车的话，零跑C01超级增程可以考虑，除了之前就提到有性价比和续航外，用车成本真的很省。比如上下班通勤和短途代步可以把它当电车来开，按照公共充电桩电费是1.1元/度和燃油是8.5元/L来算，同样里程数下，电费低于油费，折算下来，一天的用车费可能比公共交通还低。用车也不会太有负担#开一年超级增程到底有多省#                  原图                             ,2023-10-15 17:40,222,7,78
NnXS11tTO,🍠热帖：iPad秒表开了快两年我以前好像也干过这事，不过很快就发现关掉了有做过同样事儿的吗  原图 ,2023-10-15 14:43,653,12,70
NnX8zvm5i,月底应该就上8G3新机啦各家又要机战11月了准备双十一这波换机的小伙伴扣波1  ,2023-10-15 12:51,992,11,490
NnQB8wXl0,两大平台双11活动时间都出来了东 10月23日开启预售猫 10月24日开启预售双11有打算换机的吗？  [组图共2张] 原图 ,2023-10-14 20:13,701,42,292
NnOKWEblP,据说内存和存储供应链要涨价了盘点目前机圈的1TB大存储手机都有哪些~如果你有大存储需求可以看看。已经用上1TB的评论区集合#小白测评[超话]#  原图 ,2023-10-14 15:31,481,36,177
NnOm0B787,有多少小伙伴现在使用的是素皮后盖的手机？评论区集合，来说说实际体验优缺点  原图 ,2023-10-14 14:30,464,13,239
NnNcSEAFr,带华为Mate 60 Pro+看演出，录制视频效果怎么样？小伙伴站在最后排录了段夏日入侵企画的《想去海边》，打开录像直接拍摄（未进行曝光等任何调整），开头从1X切换到4X主要给大家看下距离，全程手持可能不太稳，最终效果如何？ 小白测评的微博视频  ,2023-10-14 11:35,685,74,167
NnMX1eHtT,集邦咨询研究发布的2023下半年DRAM上涨趋势，预估第四季合约价季涨幅约3~8%。  原图 ,2023-10-14 10:55,193,10,39
NnHvR1QM4,从骁龙8+开始原神基本能满60帧，五年前的旗舰芯、旗舰手机原神表现如何↓五年前旗舰的项目网页链接中，测试了三台手机的原神表现：平均帧率在20~30帧左右，功耗都在5W以内，三台中小米8 透明探索版最高温度43.8℃，另外两台温度则在46℃以上。骁龙8Gen3只剩一两个星期就发布了，不知道星穹铁道能不能满帧？🤔#小白测评数据库#环境温25℃±0.5℃，屏幕亮度350nit，声音50%，性能模式             [组图共2张]      原图                             ,2023-10-13 21:05,240,10,72
NnGYlApb2,#冯提莫 武汉# 第一次碰到这种移动直播除了打光设备后面还有一辆小车推的是直播移动设备？  [组图共3张] 原图 ,2023-10-13 19:42,1114,58,268
NnGNzj1ad,武汉汉街偶遇冯提莫直播拿华为Mate60 Pro+ 4X拍了段真人人太多了 小白测评的微博视频  ,2023-10-13 19:16,1503,104,260
NnGI6zj5C,汉街偶遇冯提莫，手上还拿着遥遥领先在直播 武汉·武汉中央文化区-汉街  显示地图 原图 ,2023-10-13 19:02,1969,23,286
NnGc7dNLo,有对高刷感知不强的的吗？我们有个小伙伴换了台iPhone 15，轻薄手感是有的，但这黑色中框吸油太明显了  [组图共3张] 原图 ,2023-10-13 17:43,925,29,433
NnFvectlQ,华尔街见闻报道称：国内存储器下游龙头内存采购成本上涨约30%。也就是说接下来大内存大存储好价不再？  原图 ,2023-10-13 15:58,784,16,167
NnEP4vnsA,Onleaks和91mobiles联合绘制的小米14 Pro外观渲染图出炉：6.6英寸2K 2.5D显示屏，机身三围预计161.6*75.3*厚约8.7mm，算上摄像头凸起厚度大概是13.1mm，这外观打几分？#新机来了#  [组图共4张] 原图 ,2023-10-13 14:14,713,15,427
NnDm0kaYd,「小白」随手勾的用户协议你看过么？世界最大谎言—“已阅读并同意”#用户协议你认真看过吗# 你是否有过这样的经历，当你第一次打开APP，紧接着弹出的用户协议和隐私政策，99%的人是不是直接就点击确认了，本期我们对比了28款常用APP，带你初步了解一下APP的用户协议和隐私政策到底都聊了什么~记得点赞收藏 感谢啦~ #小白测评# 小白测评的微博视频                                 ,2023-10-13 10:30,3586,793,484
NnDi6z5Ne,#iPhone16Pro或配骁龙X75调制解调器# 今年iPhone 15系列全系均为高通骁龙X70基带芯片，明年iPhone 16标准款继续X70，Pro款换上X75？刀法还是精准的  原图 ,2023-10-13 10:20,464,13,142
NnD9lq58l,#每天都要擦一擦手机# 上班打卡后第一件事就是清洁手机，有没有一样的像iPhone 这种镜头模组没有做全平处理的更是灰尘重区，静音键位置也需要天天清理，易沾指纹的亮面中框如果不套壳也需要经常擦拭，不然看起来难受  [组图共4张] 原图 ,2023-10-13 09:58,227,12,117
NnBI9zHZ5,又是一天没人比我早的早上好  ,2023-10-13 06:19,454,5,161
NnyW9xRA3,刚看到开箱被夹了客观来说，这次Magic Vs2 6999起价格相比V2来说拉下来了，V Purse 5999起，V2 8999起，三款折叠屏价位段递进式，你最满意哪台？  原图 ,2023-10-12 23:15,1300,11,183
NnxNEDOMK,荣耀Magic Vs2正式发布12+256 6999元 16+512 7699元附上真机实拍 这价格如何？主要配置：外屏6.43英寸2376*1080分辨率，展开内屏7.92英寸2344*2156分辨率，内外屏均支持1-120Hz LTPO刷新率、3840Hz PWM高频调光，内外屏前后置均为16MP，后置50MP主摄+12MP超广角+20MP长焦 最高40X，骁龙8+ 3.0Ghz版处理器，5000mAh电池，66W充电，提供绒黑色、冰川蓝（羽纤材质）、珊瑚紫（素皮），折叠时厚约10.7mm 重约229g等。             [组图共14张]      原图                             ,2023-10-12 20:21,1072,8,203
NnxIW5CUK,#小白小开箱# 上手聊聊今晚刚发布的荣耀Magic Vs2折叠屏，珊瑚紫、绒黑色、冰川蓝三个颜色，外观满分10分的话，你打几分？ 小白测评的微博视频  ,2023-10-12 20:10,1707,41,95
NnxygbsLa,荣耀Magic V2拿下7-8月国内折叠屏销量第一，有入手的吗[举手]  原图 ,2023-10-12 19:43,328,10,135
NnvYRfnUe,疑似Redmi K70系列新机获得3C认证，90W充电头。今年红米外观质感都上来了，不知道这次相比小米14怎么样 #新机来了#  原图 ,2023-10-12 15:43,498,15,140
NnvoagSyP,来总曝光了Find N3红色看过的来说说打几分？  ,2023-10-12 14:13,735,6,167
NnupYfeWl,OPPO小布大模型公测来了，问了几个问题，这回答大家还满意吗？漫长的季节变成黄景瑜杨幂王骁主演了  [组图共6张] 原图 ,2023-10-12 11:45,465,15,154
NntOz7lnE,荣耀Magic Vs2今晚就发布了，老规矩，来猜个起售价（需带上存储版本），评论区第一个猜对的送个小红包  [组图共2张] 原图 ,2023-10-12 10:12,578,26,1001
NntuK0kX0,黑厂官宣来了OPPO Find N310 月 19 日14:30发布影像新世代？  原图 ,2023-10-12 09:24,1544,17,269
NnoMxkUKR,五年前旗舰现在游戏表现怎么样？实测3台五年前旗舰手机现在《王者荣耀》的表现：平均帧率最高的是华为 Mate20 Pro 61.1 FPS，功耗3.5 W，机身最高温度43.7 ℃；小米8 透明探索版平均帧率 59.3 FPS，功耗3.7 W，机身最高温度41.7 ℃。更多内容请看完整视频👉🏻网页链接#小白测评数据库#环境温25℃±0.5℃，屏幕亮度350nit，声音50%，性能模式             [组图共2张]      原图                             ,2023-10-11 21:24,528,7,159
NnodZlO1G,旁边一个妹子带的三星S23 Ultra拍张艺兴，这会儿人还没出来，旁边都在夸她手机果然是追星神器 小白测评的微博视频  ,2023-10-11 19:59,1002,77,354
Nno9z1d8C,来汉街吃饭，结果一条街全是人问了才知道原来这条街的那头今晚有张艺兴，可惜太晚了离太远多倍变焦也发挥不了  原图 ,2023-10-11 19:48,1764,17,129
NnmKA0MNp,#小米整改电视开机广告# 小米电视可以永久关闭广告了[全力以赴] 有需求的相关用户可以去找客服~ 需要在【设置-关于-网络信息-wifi mac地址】获取电视的wifi mac地址，然后提供给客服，由小米技术同学帮助进行关闭，预计2个工作日。  原图 ,2023-10-11 16:13,1480,119,354
NnmawkbkR,#小米社区误杀了雷军账号# 小米社区清理历史违规账号时误杀雷总账号... （发现后就恢复了）  原图 ,2023-10-11 14:45,2720,71,262
NnlWjxUnL,#全球PC出货量持续下跌# #为什么电脑卖不动了# 研究机构IDC统计的第三季度数据出来了，2023Q3全球PC市场TOP 5：①联想 出货量1600万台，23.5%市占率；②惠普 1350万台，19.8%份额；③戴尔 1030万台，15%份额；④苹果 720万台，10.6%份额；⑤华硕 490万台，7.1%份额。你用的电脑是哪家的？有出现在TOP 5里吗？[举手]              [组图共2张]      原图                             ,2023-10-11 14:10,475,22,239
NnkLu5WZw,OnePlus Open / OPPO Find N3外观高清渲染图打几分？图源winfuture #新机来了#  [组图共11张] 原图 ,2023-10-11 11:10,682,17,178
NnkEV7XIp,#你用了最久的手机是哪款# 我用最久的一台安卓貌似是魅族MX3，大概用了一年半（数码博主换机比较频繁），你用了最久的手机是哪台？大概用了几年？  原图 ,2023-10-11 10:54,476,37,717
NnkiZDITj,#iOS17.1将修复iPhone12辐射问题#有还在用iPhone 12的吗  原图 ,2023-10-11 10:00,451,12,306
Nnk54c3KF,#iPhone平均寿命将达8年# 研究公司CCS Insight分析报告称，预计到2023年底，将有13亿部iPhone在使用中，其中超过50%是二手机，并预估从2024年开始，iPhone的平均寿命将达到8年。刚好前不久我们出过一期8年前iPhone6s体验视频网页链接，可以来看看现在体验怎么样  原图 ,2023-10-11 09:26,409,14,188
Nnk1mDkPk,#苹果官网教育优惠支持支付宝认证#好消息～苹果官网的教育优惠入口从今天起支持支付宝教育认证，不再需要使用之前经常打不开还认证麻烦的unidays认证了，支付宝App认证跳转一下就能直接用[赢牛奶]备注：目前仅支持教育商店购买设备，Apple Music大学生资格还需要unidays。  [组图共4张] 原图 ,2023-10-11 09:16,181,12,88
NnfP41Lh2,换Pro吧 丢过TWS耳机的小伙伴扣波1  原图 ,2023-10-10 22:35,399,5,106
Nnfq3yHMW,想入手华为新款平板但不想在官网上每天抢的小伙伴，可以去小米澳门官网看看  [组图共2张] 原图 ,2023-10-10 21:34,665,8,117
NneVZxyKz,分享武汉今天的晚霞图1 3.5X自动拍摄图2 相机预览界面更喜欢预览框画面还是拍摄后的照片？  [组图共2张] 原图 ,2023-10-10 20:20,267,7,87
NneDg1gDt,#5年前你在用什么手机# 还记得5年前的手机续航表现怎么样吗？那时候4000mAh都算大电池，iPhone Xs那时电池容量也只有2000多mAh。实测华为、小米、三星、苹果四家品牌5年前旗舰现在的续航表现：华为Mate20 Pro三小时续航测试后电量剩余52%，另外三款剩余电量都在20%以下。*四款手机都是老机器，都有不同程度的使用情况，数据仅作为参考；和平精英：40帧+HDR高清画质（数据库3.5标准：60帧+HDR高清画质）#小白测评数据库# 环境温25℃±0.5℃，屏幕亮度350nit，声音50%                  原图                             ,2023-10-10 19:33,484,13,184
Nne9idsfD,"根据IDC预测，中国折叠屏手机市场规模将在2027年接近1,500万台，年复合增长率高达37.8%。市场还是很大的，竞争也会越来越充分，产品差异化就很重要了。OPPO Find N3这次网传搭载了独立的安全芯片，保护用户隐私，这个对于定位高端的产品还是很重要的，特别是针对于政商人士。今天网络消息也曝光了重量在23Xg，也有大家觉得哪个颜色最好看？             [组图共2张]      原图                             ",2023-10-10 18:20,519,10,69
Nne1b2mGy,「小白」5年前的旗舰手机今天体验怎么样了？#5年前你在用什么手机# 你五年前在用什么手机还记得么？老机新测是我们频道经典项目，本期集合了华米果星四家的五年前的旗舰型号，华为 Mate20 Pro、iPhone Xs、三星 Note9和小米8探索透明版，当年的大旗舰当下表现如何，本期全面实测！记得点赞，感谢~ #小白测评# 小白测评的微博视频                                 ,2023-10-10 18:00,2908,788,796
NndubClb2,Mate 40 RS保时捷设计Mate 50 RS保时捷设计Mate 60 RS非凡大师华为三代RS，哪台更漂亮？  [组图共3张] 原图 ,2023-10-10 16:38,1106,27,473
