微博id,微博正文,发布时间,点赞数,转发数,评论数
NoLzM2FdN,各家新旗舰配置网上已经有不少爆料了，📱小米14：一如既往小尺寸安卓小钢炮，稳定升级，预计缩窄边框，可能升级1.5K直屏；📱iQOO 12：塑料支架没了，爆料变成1.5K窄边框直屏，百瓦大电池，有潜望长焦了，背部新的ID风格，疑似自研独显芯片；📱一加12：2K新曲屏，BOE，貌似亮度调光色彩都很猛，再加上3X暗光长焦，网传貌似要重塑7Pro荣光这三台你最期待哪台？             [组图共3张]      原图                             ,2023-10-20 16:15,158,7,88
NoKKlEPdg,4399，128GB，骁龙8 Gen1。。。  原图 ,2023-10-20 19:09,460,8,171
NoKguonEd,#再见小米MIUI#MIUI公众号已改名为小米澎湃OS～  原图 ,2023-10-20 17:55,484,9,107
NoJWB0qfi,#华为六周内售出160万部Mate60Pro#让我看看有多少遥遥领先用户  原图 ,2023-10-20 17:06,998,11,327
NoJnQ07vg,标准版先试水？研究机构TechInsights：“谁能想到苹果会选择将索尼先进的Exmor T工艺技术应用于基础版的iPhone 15后置广角镜头模块的图像传感器中，而并非在iPhone 15 Pro Max上。”  原图 ,2023-10-20 15:41,271,8,82
NoHFnbieF,疑似iQOO 12真机照 打几分？图2是曝光的iQOO芯片组件，iQOO这次也上自研独显芯片了？#新机来了#  [组图共2张] 原图 ,2023-10-20 11:19,747,14,173
NoHluqWpi,「小白」热血13年！小米MIUI发展简史#再见小米MIUI# 半个月前，小米14要搭载全新自研系统的消息一下子在网络上炸开了锅，网友们对小米新系统的期待值直接拉满。本期我们就在小米正式启用全新操作系统澎湃OS之前，带大家回顾一下MIUI的发展历程。记得点赞收藏~感谢啦~ #小白测评# 小白测评的微博视频  ,2023-10-20 10:30,1761,664,450
NoH4OzHeH,三星S23 Ultra降到5999了（8+256）这价格咋样？  原图 ,2023-10-20 09:48,664,11,324
NoGWsifh1,一加12屏幕前瞻沟通会？一加 京东方BOE 10 月 24 日 活动  原图 ,2023-10-20 09:28,653,6,119
NoC4JjOtg,OPPO Find N3落地性能表现如何？数据库实测：1、内屏测试：《原神》数据库3.5实测平均帧率 45.5 FPS，机身最高温度 44.6℃；《星穹铁道》数据库3.5实测平均帧率 42.3 FPS，机身最高温度 46.3℃；从《原神》和《星穹铁道》的游戏帧率曲线可以看出，这次Find N3的温控严苛，温度升高后帧率明显下降。2、Find N3外屏比例20:9，与很多常规手机的屏幕比例一样，使用外屏测试《王者荣耀》120帧高清画质：平均帧率 119.7 FPS，机身最高温度 41.1℃。*由于Find N3的电池连接方式与性能狗监测冲突，测试功耗可能与实际不符，所以三项游戏测试制图都没有加入功耗。#小白测评数据库# 环境温25℃±0.5℃，屏幕亮度350nit，声音50%，性能模式 (数据基于 OPPO Find N3 测试时最新版PHN110_13.2.0.92(CN01) 系统测试)             [组图共4张]      原图                             ,2023-10-19 21:05,99,5,34
