微博id,微博正文,发布时间,点赞数,转发数,评论数
NkTsYxAzJ,[置顶]只有苹果能做到！iPhone15、15Pro、15ProMax 体验评测 大米评测的微博视频  抽奖详情  ,2023-09-25 10:00,826,910,287
NnbbiaSMP,凭什么遥遥领先？华为Mate60、60Pro全面评测！麒麟9000S能征服原神吗？ 大米评测的微博视频  抽奖详情  ,2023-10-10 10:46,2749,1140,651
NohUUlKr1,[毛球]最近下班路上都在听伍佰的歌，真好听啊~  ,2023-10-17 12:45,182,1,63
NohuI4TFX,2023 Q3 全球手机市场销量同比下降8%，这已经是连续第九个季度全球手机销量下滑，其中vivo下降14%，OPPO下降15%，小米下降15%，苹果下降9%，三星下降13%，Others下降26%。  原图 ,2023-10-17 16:41,592,3,150
NogSsjSym,【闲聊】[毛球]今年双11大家打算换机吗？还是等一波11月新机上市后再看看~  ,2023-10-17 15:07,539,3,301
NogQRsbYn,理想MEGA，跳楼这梗是过不去了~  原图 ,2023-10-17 15:03,430,2,42
Nof7IEFDT,都是纯电MPV，小鹏X9 vs 理想MEGA，外观来说，你更喜欢哪个？  [组图共4张] 原图 ,2023-10-17 10:39,466,12,136
Nof6dC5ZP,理想首款纯电车：MEGA，看着有点像动车头  [组图共3张] 原图 ,2023-10-17 10:35,273,2,99
Nof1fvMQK,其实叫啥无所谓，主要看新系统相对MIUI14提升多少，改进多少  ,2023-10-17 10:23,3160,6,344
NoeVCw6IJ,MIUI15--->澎湃OS  原图 ,2023-10-17 10:09,1486,3,273
NoeAVtrpx,早呀  原图 ,2023-10-17 09:18,137,0,32
Nob2wDLvW,intel 14代酷睿京东已经开始预售了：i9-14900K 24C32T 最高睿频6.0GHz，4999元，KF版4799元；i7-14700K 20C28T 最高睿频5.6GHz，3499元，KF版3299元；i5-14600K 14C20T 最高睿频5.3GHz，2599元，KF版2499元；这代总体来说i7最香？多了四个小核，i5和i9核心数量对比上一代没啥区别~  [组图共6张] 原图 ,2023-10-17 00:15,382,12,153
NoaPqE7Ri,徕芬新发布的电动牙刷，大伙觉得怎么样？回头买个试试~  原图 ,2023-10-16 23:43,983,4,245
No7W2CD9z,#雷军 别着急这次产品很很很强# 这图是不是要更新了？  原图 ,2023-10-16 16:21,1060,9,120
No6nBmWNb,#小米14# 关于小米14大家最期待的升级点是哪个？  原图 ,2023-10-16 12:23,1524,15,464
No5VTqNAb,供应链内存闪存涨价在即，不过对于绝大多数用户来说，16GB+512GB这个规格，在很长一段时间内都是很够用的了~  ,2023-10-16 11:15,1582,1,300
No5Sth4c7,OriginOS 4，11月1号发布，不知道MiOS啥时候官宣？  原图 ,2023-10-16 11:06,850,3,143
No5EChlpH,10月25-26日，高通骁龙8Gen3，首发机型小米14 or 一加12 or 三星S24？  原图 ,2023-10-16 10:32,3297,27,372
No5wV5mu5,突然发现我房间的衣柜是Mate60Pro同款设计  [组图共2张] 原图 ,2023-10-16 10:13,730,6,101
No5anAGrd,早呀~  ,2023-10-16 09:18,180,0,59
NnYh4a0r2,科技数码从娃娃抓起…  [组图共3张] 原图 ,2023-10-15 15:45,800,2,93
NnPoI8TFQ,夏季高温过去，这几天G9的能耗越开越低了。  原图 ,2023-10-14 17:09,232,0,70
NnOoo3igj,手机60Hz，对我来说真的很难回去  ,2023-10-14 14:36,1379,10,373
NnM7h9JIr,周六早呀。今天都什么安排？  ,2023-10-14 08:48,384,2,150
NnGs3bmR9,@青音晴 做的晚饭，味道不错  [组图共2张] 原图 ,2023-10-13 18:23,822,1,129
NnEuriakJ,小米14Pro渲染图？垂直中框设计，正面看着像直屏，又像四曲面窄边框。这个后置Deco肯定和最终有出入，至少分割线，徕卡Logo啥的还是会印上去的。  [组图共3张] 原图 ,2023-10-13 13:23,868,16,342
Nny1pFD6G,智己LS6发布：标准版，71度电池包（准500V平台），CLTC 560km，零百加速5.9s，上市价21.49W长续航版，90度电池包（准500V平台），CLTC 680km，零百加速5.9s，上市价23.49W超长续航版，100度电池包（准900V平台），CLTC 760km，零百加速5.5s，上市价25.89W超强性能版，100度电池包（准900V平台），四驱 CLTC 702km，零百加速3.48s，上市价27.69W配置价格还是挺不错的，感觉主要对手还是特斯拉Model Y和小鹏G6             [组图共3张]      原图                             ,2023-10-12 20:55,183,4,172
NnxUGx9t1,荣耀Magic Vs2：骁龙8+，外屏6.43英寸，120Hz，2344*2156，内屏7.92英寸，120Hz，2376*1060，重量229g（中框是塑料？），后置5000w（主摄，F1.9，无OIS）+1200w（超广角，F2.2）+2000w（长焦，F2.4，有OIS），前置1600W，5000mAh+66W；12+256GB 6999元，16+512GB 7699元；大家觉得怎么样？买不买？  [组图共3张] 原图 ,2023-10-12 20:38,1527,8,284
NnxgwrAOX,这很不红米！Redim Note13Pro/13Pro+体验：骁龙7sGen2、天玑7200Ultra测试 大米评测的微博视频  抽奖详情  ,2023-10-12 19:00,738,969,291
NntHjtvcJ,【闲聊】你用过最久的一台手机是什么？  ,2023-10-12 09:55,1172,14,1285
NntCEnqGl,Find N3 10月19号  原图 ,2023-10-12 09:43,298,4,60
NnnZpmL9P,9月新势力销量①理想3.64W②蔚来1.81W③深蓝1.53W④零跑1.53W⑤小鹏1.48W⑥腾势1.17W⑦极氪1.09W⑧哪吒0.91W⑨问界0.44W（新M7起量要看10/11月份的交付）⑩岚图0.38W新能源品牌销量：①比亚迪23.36W（真遥遥领先）②特斯拉4.33W③埃安4.22W④理想3.64W⑤五菱3.62W⑥长安2.5W⑦大众2.19W⑧蔚来1.8W⑨深蓝1.53W⑩零跑1.53W             [组图共2张]      原图                             ,2023-10-11 19:23,411,10,141
Nnnc5m991,①，②，③，你更喜欢哪个？（主摄自动）  [组图共9张] 原图 ,2023-10-11 17:21,130,2,134
NnnbE5Bx7,①，②，③，你更喜欢哪个？（2X 自动，第三组 4X 自动）  [组图共9张] 原图 ,2023-10-11 17:20,70,3,50
Nnnbbxpao,①，②，③，你更喜欢哪个？（主摄自动）  [组图共9张] 原图 ,2023-10-11 17:19,44,1,66
NnnaUlQAY,①，②，③，你更喜欢哪个？（主摄自动）  [组图共9张] 原图 ,2023-10-11 17:18,84,7,79
NnkMYz52z,溜了溜了，我桑博都满命了...  [组图共2张] 原图 ,2023-10-11 11:14,174,1,80
NnkEh2k7H,iPhone15ProMax这长焦你说画质差吧，确实有些场景下画质挺差的，尤其是那种室内光线不是很亮，但又不是很暗的环境，只要没有触发自动夜景，拍出来就容易有明显噪点（参考第一组①15ProMax ②13Ultra）。但是弱光下启用自动夜景后，清晰度/降噪竟然又追上来了，不输13Ultra（参考第二组①15ProMax ②13Ultra），算法策略还有待改善。             [组图共4张]      原图                             ,2023-10-11 10:52,317,4,110
NnkuXx3Tj,Mate60标准版的握感，屏幕形态，其实要比Pro更舒服，宽度相对正常，窄边直屏，单开孔。就是这外围规格着实膈应，短焦指纹，入门级Z轴，双扬声器音质也明显不如同价位机型。  [组图共5张] 原图 ,2023-10-11 10:29,1877,17,477
NnksUe0Nz,#iPhone平均寿命将达8年#  用iPhone的小伙伴来说说，你的主力iPhone都用了几年？准备啥时候换？  原图 ,2023-10-11 10:24,489,15,340
NnkknfWec,OPPO Find N3，看这后摄奥利奥尺寸，应该也是要主打折叠影像拍照了  [组图共2张] 原图 ,2023-10-11 10:03,236,2,81
NnizRwerr,早~都起了吗？  原图 ,2023-10-11 05:36,449,6,106
Nn4m04rpH,MIUI不同机型之间的流畅度体验差距还是挺大的，在K60至尊版之前，很多发哥平台+MIUI机型，性能差不多的情况下，动画掉帧/多任务出现卡顿的几率明显比高通平台要高的多。然后相同高通平台机型，也会因为不同屏幕分辨率，实际流畅度感知也会有差异，所以也就有了有些人觉得MIUI挺好啊，没有大家想的那么不堪，但也确实有一部分用户觉得，这什么破优化。                                 ,2023-10-09 17:23,1419,12,443
Nn43bbCyc,所以K60至尊版首批升级MIUI15还有没有？  原图 ,2023-10-09 16:37,1263,2,161
Nn40RCcqL,接下来天玑9300 vs 骁龙8Gen3 大家觉得哪个会更猛？  原图 ,2023-10-09 16:31,1146,10,304
Nn1OMoZSo,#网友劝张老板自首# ？这热搜看的一脸懵逼  ,2023-10-09 10:56,496,2,42
Nn1eEc2c5,周一早呀~  ,2023-10-09 09:27,148,2,49
NmUrTDCTo,[苦涩]季节转换，鼻炎又开始犯了~  ,2023-10-08 16:10,262,10,134
NmUf03NaK,希望接下来各家换代中杯都能上超薄屏下指纹（能上超声波屏下自然是最吼的），别都快2024了，4000档位都还用短焦指纹。  ,2023-10-08 15:39,1181,5,263
NmU97oj2h,下个月开始天玑9300、骁龙8Gen3新机又要开始热闹起来了，vivo X100系列，小米14系列（超大杯应该要明年了），一加12系列，三星S24系列，大家更期待哪个？  ,2023-10-08 15:24,996,7,278
NmSJS5ANQ,昨天是周一，今天是周一，明天也是周一  ,2023-10-08 11:49,542,11,77
NmLmch7Ul,华为这波强势回归，大家觉得手机高端市场影响最大的是哪家？  ,2023-10-07 17:02,2729,11,683
NmKw1c8rc,【闲聊】大伙主力机都戴壳么？  ,2023-10-07 14:53,629,4,337
NmK3GtZgK,已经结束嘞！真我GT5 vs K60至尊版、一加Ace2Pro：这波优势在谁 大米评测的微博视频  抽奖详情  ,2023-10-07 13:43,1147,910,297
NmIzEjFww,问界这改款M7销量很猛啊，下面就看塞力斯这边的产能交付能不能跟上了  原图 ,2023-10-07 09:57,1209,2,288
NmI2KyS4B,早，都上班了吗  ,2023-10-07 08:36,293,0,100
NmBQDDrW6,#苹果升级系统后充电温度可降7.4度# 我们测下来，重负载场景（连续开APP，非游戏）温度下降了大概2℃，有没有明显降频，明天再测下~  ,2023-10-06 16:49,695,3,143
NmBPI0gFE,来一波样张对比，①，②，③，④你更喜欢哪个？（主摄 自动）  [组图共12张] 原图 ,2023-10-06 16:47,346,10,180
NmBDixrrX,来一波样张对比：①，②，③，④你更喜欢哪个？（10X 自动）  [组图共8张] 原图 ,2023-10-06 16:16,478,5,166
NmBCZ6OBX,来一波样张对比：①，②，③，④你更喜欢哪个？（5X 自动）  [组图共8张] 原图 ,2023-10-06 16:16,238,4,74
NmBCIdYpo,来一波样张对比：①，②，③，④你更喜欢哪个？（3.5X/3.2X 自动）  [组图共8张] 原图 ,2023-10-06 16:15,251,4,91
NmBAbmR0M,来一波样张对比：①，②，③，④你更喜欢哪个？（主摄 2X自动）  [组图共8张] 原图 ,2023-10-06 16:09,195,2,60
NmByACRfD,来一波样张对比，①，②，③，④你更喜欢哪个？（主摄 自动）  [组图共8张] 原图 ,2023-10-06 16:05,140,2,44
NmBuD4L6D,来一波样张对比，①，②，③，④你更喜欢哪个？（主摄 自动）  [组图共8张] 原图 ,2023-10-06 15:55,126,5,73
NmqiFDzjd,【闲聊】大家觉得MIUI现在有哪些需要改进的点？  ,2023-10-05 11:25,2834,33,903
NmqgNgwEH,"谷歌亲儿子Pixel8系列，搭载Tensor G3处理器，9核心，三星4nm工艺，1*3.0GHz大核，4*2.45GHz A715，4*2.15GHz A510，不知道能效表现怎么样，基于Android14系统~Pixel8：6.2英寸FHD+ OLED，120Hz刷新率，4575mAh+27W，8.9mm，187g，后置5000W+1200W，前置1050W，支持IP68，标配8GB内存；Pixel8Pro：6.7英寸1344*2992,120Hz刷新率，支持LTPO，5050mAh+30W，8.8mm，213g，后置5000W+4800W+4800W，前置1050W，支持IP68，标配12GB内存；             [组图共3张]      原图                             ",2023-10-05 11:21,355,9,124
NmqcF1Pxo,U1S1，今年一加和红米大战，Realme和iQOO的存在感是低了很多  ,2023-10-05 11:10,1092,3,232
NmpLcsxhi,iOS17.0.3 描述是修复火龙果问题，升级看看效果怎么样  原图 ,2023-10-05 10:03,1188,11,264
Nmpnt7QNz,早呀，假期余额还剩几天？  原图 ,2023-10-05 09:04,205,4,100
NmhqKDBvq,#苹果将修复iPhone15Pro过热问题# 买了15Pro系列的用户，目前使用，发热情况感觉还好么？  ,2023-10-04 12:50,1105,4,210
Nm8tR6WgQ,【闲聊】开纯电车型的小伙伴来说说，现在大家日常出行（包括长途）有续航焦虑么？  ,2023-10-03 14:03,573,6,168
Nm8fhooyv,回工作室，上班！  ,2023-10-03 13:27,198,0,39
Nm1WMyHAd,苹果汽车上市了？  [组图共2张] 原图 ,2023-10-02 21:25,602,5,85
NlYJVr0Nt,练习时长2分半 大米评测的微博视频  ,2023-10-02 13:16,807,5,98
NlXoJ1O7E,[送花花]送你一朵太阳花  [组图共2张] 原图 ,2023-10-02 09:51,479,1,51
NlRUCaQeL,9月部分新势力交付数据理想:36060深蓝:17370零跑:15800蔚来:15641小鹏:15310极氪:12053  [组图共6张] 原图 ,2023-10-01 19:53,667,8,178
NlP4n9I6Q,咋感觉休息比平时上班更累。。。  ,2023-10-01 12:38,1019,1,160
NlO301p1J,Model Y也出来小改款了，新增氛围灯，新的仪表台饰板，新的19英寸轮毂，HW4.0硬件，后驱百公里加速提升至5.9S（之前是6.9S），下半年开始，25-30W的新能源车是真的卷到不行，那么这个价位大家会考虑哪款车型？  [组图共3张] 原图 ,2023-10-01 10:02,492,1,135
NlNYVnBgw,早呀，国庆都准备去哪儿玩？  ,2023-10-01 09:52,391,2,96
NlxKhwfBR,【闲聊】国庆档，准备看那部电影？  ,2023-09-29 16:32,616,2,177
Nlx8FjS9s,轻薄本漂亮，手感好，但往往性能释放表现弱，续航也比较难顶，那么有没有颜值、性能、续航都到位的机型呢？今天我们一起来体验下联想YOGA Pro 14s 2023，这款通过英特尔Evo 平台认证的旗舰轻薄本，能否真正做到，有颜又有料！#英特尔Evo# #联想YOGA# #笔记本电脑# 大米评测的微博视频  ,2023-09-29 15:00,332,778,141
