微博id,微博正文,发布时间,点赞数,转发数,评论数
NpKm4EgUl,8 Gen 3 才刚刚发布，小米14 Pro 会好吗？相较上一代，机器变化很大！向你快速分享一下这台手机的外观、性能、影像拍照最真实的使用体验✨#小米14系列首发评测# #新机来了# 迪仔Dizzz的微博视频  ,2023-10-27 08:00,2905,3220,881
NpF8zzGOP,下午玩了一圈基于骁龙8 Gen 3的demo～#骁龙峰会##前线有骁友#给大家带点内部消息非常值得参考！因为这基本就是未来安卓旗舰机一定会出现的新特性和关键技术，各位在买相关产品的时候也可以格外留心新芯片，主要有3个体验改变巨大。一个是生成式AI。可以用语音也用文字交互。关键是本地就可以运行，不用联网，不受网速、服务器限制，无论回答问题、创图、拓图都贼快（把原本没拍到的用AI算出来）下半年的手机，估计都会基于这个特性调教自家的自然语言机器人[你好]，毕竟新芯片NPU相较上一代提升了98%，不大做文章简直浪费。第二个是游戏表现。8 Gen 3本身在CPU、GPU都有提升。最直接的就是玩《原神》这种大型游戏可以有更好的流畅度，更低的功耗。另外就是现场我试了一个基于虚幻引擎5的光线追踪和实时全局光照游戏demo，开/关 区别超级明显，光的反射、水中的倒影都嗷嗷真实。第三个就是夜拍表现也会进一步提升，见图3的黑箱拍摄。两台手机镜头配置都一样，但新的芯片会带来更好的画面和细节。发布会上还视频演示了AI支持下的视频中路人擦除功能，但现场没看到相关demo，期待后续落地吧除此以外，我现场还试了一下骁龙PC芯片 X Elite的工程机，同样在终端AI处理能力上表现最突出。以及基于它强大的终端AI算力，他们现场有一个“5分钟拍照一套图”带走的小活动哈哈哈哈哈哈哈！手机拍摄的照片可以跨设备拖拽到PC上，并用达芬奇快速处理，没一会儿我就上到墙上了[我来了]。这也就是高通第一天官宣的Snapdragon Seamless技术，可以跨平台实现多台终端跨多个操作系统无缝连接，共享外设和数据。以前生态产品的互联我个人觉得苹果的体验非常舒适，但前提就是必须要接连不断买这个品牌的产品。而现场演示的骁龙终端，虽然是Android、Windows和其他操作系统，但也能主动发现彼此了             [组图共9张]      原图                             ,2023-10-26 18:43,757,1468,668
NpEaKzOMn,我终于明白为什么有的人考研或者深度学习会消失一段时间了...这两天开这个高通骁龙峰会给我累死了，每天听各种新技术到大脑宕机然后每天晚上睡一觉第二天重启继续...我对不起夏威夷的美景，根本无心顾及：（ 不过了解了很多新芯片的关键技术，应该对大家下半年入手新手机很有帮助  ,2023-10-26 16:15,482,3,140
NpqdPoa3T,高通骁龙8 Gen 3 来啦4nm工艺，采用ARM最新的X4+A720+A520组合官方数据一以概之，CPU提升30％，GPU 提升20％，AI 能力提升...98%!!看来接下来的新机是绕不开生成式AI 了，感觉会有很多效率 创作的应用表现值得注意的小米14 首发了下半年手机旗舰芯片8 Gen 3，相当排面[收到] 新机四个配色也同步曝光，感觉咋样             [组图共6张]      原图                             ,2023-10-25 04:44,507,10,166
NppK3BHFL,来参加2023高通骁龙峰会啦其实我最关心的就两件事AI到底能做什么尤其今年的手机端跟之前的手机最大区别是啥？毕竟都说好几年了。以及高通说重新定义性能，怎么讲呢现场都是骁龙的主题色好红，我和青青像坐在锅里哈哈哈哈哈哈哈@ElenaLin_青青  [组图共6张] 原图 ,2023-10-25 03:31,210,0,63
NpoVU6PZV,啊啊啊啊啊在这么漂亮的的地方需要工作，简直犯罪[苦涩]好在每次抬头的时候获得一个嘴角上扬能在低头的时候多些写两行  [组图共3张] 原图 ,2023-10-25 01:27,1230,11,149
NpoxWDb41,啊？？？？苹果突发新发布会定档时间10月31日，北京时间的上午8点 （好怪，再看一眼发现确实是北京时间 以往都是凌晨）可能会发布的产品，大概率就是彭博社最近爆料的M3 芯片  24 寸 iMac ，不知道还会不会有其他～最近在蹲iMac、 MacBook的朋友可以留意一下，而且这回算是不用熬夜看啦                  原图                             ,2023-10-25 00:28,635,18,118
NpjfECCMS,Aloha！我史迪仔哈哈哈哈哈哈因为每次视频打招呼都讲很快，所以很多关注很久的朋友都觉得我是迪仔听起来好像嘿，我史迪仔这回是真来夏威夷了⛱️ 迪仔Dizzz的微博视频  ,2023-10-24 11:00,591,30,140
NphmN9O6W,昨晚在羽田机场T3转机！看小🍠说有限定的皮卡丘，据说除了羽田机场其他地方也买不到 我就冲过来了[你好]评论里随机揪两位铁粉送出两只皮卡丘，明天中午开奖✨（希望你收到就像得到朋友出去玩给带的伴手礼那样开心） 迪仔Dizzz的微博视频  ,2023-10-24 06:12,607,94,1203
Npd18baJt,新 iPad eSIM 版，有什么特别和值得注意⚠️这次苹果为 iPad 10 新增 eSIM 功能！不用实体SIM卡也可以上网了👀具体如何开通？哪个运营商可以？资费多少？这个视频从新 iPad 拿到手开始给你讲个明白！码住看看：）#iPad国行首次支持eSIM##新机来了# 迪仔Dizzz的微博视频  ,2023-10-23 19:07,1906,2458,1125
NpaUu2TBR,啊啊啊啊是谁今天要出差却刚刚收到新游戏  原图 ,2023-10-23 13:45,483,4,142
Np9xitDgw,11.4日 温州要开Apple Store店了[举手]地址是温州万象城1层 Logo和标语都是温州地区限定 “初来温州问声好”。据说设计图案的灵感来自温州传统的蓝夹缬印染布艺（雕版印染）。夹缬起于秦汉，盛于唐宋，唐明皇曾将其作为国礼馈赠给各国遣唐使。至元、明，夹缬向单蓝色转化，最后仅在浙南地区保存下来，是国家级非物质文化遗产之一✨                  原图                             ,2023-10-23 10:16,855,41,210
NoL4RtSGp,泡泡骚新出的这几个未免也太可爱了！！！之前就安利过PopSockets泡泡骚很多次了，这回又有一些新的、好玩的、完全没见过的样式和操作，打算再分享一波！其中新出的宝可梦&哈利波特学院联名款，细节和做工都嘎嘎nice✨#数码好物种草计划# 迪仔Dizzz的微博视频  ,2023-10-20 20:00,2424,2746,2209
NoIffwm5J,中午点外卖，人在工作室但点到家里了跟外卖小哥讲了一声，他说他飞过来哈哈哈哈哈哈不愧名字里面带成龙二字  原图 ,2023-10-20 12:47,493,0,112
NoBJMswlV,惊啦！原来海底捞现在还提供套袖了老谢一落座，皮筋 围裙 套袖全都给备上了，现在她穿这一身白衬衫，竟有极大概率全身而退！  原图 ,2023-10-19 20:13,563,2,117
NozSKygef,OPPO Find N3：捉迷藏，无处可藏不是评测！因为最近我们工作室都很迷猫和老鼠，正巧 Find N3 这次带来了6倍长焦镜头，于是我们就干脆用它玩了一场真人猫和老鼠🐭规则是只要被我用 OPPO Find N3 拍到脸就淘汰，结局我笑了：）#OPPO Find N3# #猫鼠游戏# 迪仔Dizzz的微博视频  ,2023-10-19 15:30,991,834,475
NozSgs61R,星巴克这个小绿杯 浓椰馥芮白好喝滴淡淡的椰子味🥥，不会很甜！椰子香气对冲了一些咖啡的口感 很润，很温和的口感。我选的低因，下午喝感觉不会用惦记晚上能不能睡得着[我来了]  原图 ,2023-10-19 15:28,424,10,154
