微博id,微博正文,发布时间,点赞数,转发数,评论数
NpbzuBqVp,OriginOS4开始内测了，首批机型vivo X90 Series、iQOO11 Series、X Fold2、X Flip。目前我用下来最大感受是过渡动画非常丝滑，感觉大家新系统的流畅度进步都很大  ,2023-10-23 10:26,2607,12,477
Npb8FzGvL,小米第一时间公布了新OS技术架构图，对这个架构图我想说三点：1. 小米对于兼容安卓部分的描述很实在很严谨，既然兼容安卓程序，那一定需要使用到安卓框架；2. 新系统的精髓在Vela和AI部分，简单来说小米澎湃OS要实现的是大家都未曾实现的真正的大一统，做智能万物互联时代的基座系统；3. 架构图...全文 原图 ,2023-10-23 14:20,10555,202,1488
NpaDdsDLP,iQOO12系列OV64B有长焦微距，这意味着阿蓝正代旗舰全系标配带长焦微距的中底潜望镜，有点东西嗷。  ,2023-10-23 13:03,3019,20,604
NpahTvb0u,2D 2K+50Mp+12Mp+50Mp 2X  ,2023-10-23 12:10,2562,12,582
Np9PA1pc3,又一个违背祖训，加加12这次配了USB 3.2，其它还有50W无线充+高素质潜望镜+红外遥控等等，其他骁龙8Gen3旗舰得抓紧跟进了  ,2023-10-23 11:01,5628,30,1255
Np9tFx0Cf,我看见的天玑9300娱乐兔跑分比这个高  原图 ,2023-10-23 10:07,4230,22,672
Np94IqP3s,小米14系列+澎湃OS发布会定档10.26，一个公开的秘密。这里还露出了小米14的亮面直角金属中框和方形Deco，有分层设计，真机非常精致。  原图 ,2023-10-23 09:05,12475,62,1729
NoRhrwIUn,7月份就说过iPhone15标准版主摄升级成了双层晶体管，但从实测来看，提升似乎并没有索尼资料写得那么猛，年底这波新机的IMX966/920主摄也没用这个技术  原图 ,2023-10-21 11:47,5996,33,869
NoQJ1i28p,年底这波新机的国产屏都好顶，峰值亮度都干到了3开头，还做了新一代屏幕电路设计，可以做无级变帧+全天候显示，三星E7机型数量锐减，年前可能就一两款  ,2023-10-21 10:22,16823,73,2356
NoQ9RbRJq,早  ,2023-10-21 08:56,4349,29,765
NoKiwlBRv,前段时间混进了欧加的长安研究所，看到过一些加加产品的飞机稿，只能说非常有想法。跟很多供应链朋友聊，他们也挺震惊的，加加确实是卷王，经常带着自己的想法，拉着供应链一起卷，标准还很严格。很多那时候觉得不现实的东西，现在慢慢已经搞出眉目了，这次一加12 的「东方屏」就是个马上要落地的项...全文 ,2023-10-20 18:00,9065,41,904
NoJVP5Yg4,关于大家之前聊的Mina我多说几句，其实Mina是小米好些年前内部就启动的一个纯自研OS项目，这个甚至已经在海外产品上做过小规模产品化验证，我这儿还有去年Mina产品化应用的视频。据说小米澎湃OS也用了一部分Mina的框架技术 数码闲聊站的微博视频  ,2023-10-20 17:05,6711,43,669
NoITWpWOQ,阿蓝200W闪充项目暂时搁置，现在开始搞120W/100W+6000mAh±，定制高密度电芯的体积应该不会很离谱吧  ,2023-10-20 14:27,6831,34,1001
