微博id,微博正文,发布时间,点赞数,转发数,评论数
Np9NohTgt,#小米14发布会定档# 本月26日晚7点同时小米澎湃OS 会在本次发布会正式发布，打造 「人车家全生态」操作系统关于小米14你有哪些期待？  [组图共2张] 原图 ,2023-10-23 10:55,44,5,14
Np42jeoOA,网传小米汽车要改名叫澎湃汽车大家觉得「小米汽车」、「澎湃汽车」哪个更好听？  原图 ,2023-10-22 20:15,135,5,46
Np38a8tn2,#双十一买苹果还是华为#双十一你准备买哪台手机？ 双十一你准备买哪台手机？  ,2023-10-22 17:57,4768,8,56
NoTIDrwPa,手机选美！一万人大调研哪台手机最好看？「白问」如果有一款手机，屏幕四面微曲，正面四边等宽，黑边宽度1mm……机身unibody白陶瓷一体，边框圆润不割手，背部摄像头可隐藏，正面前摄可升降，整机宽度72，重量168g，厚度8mm…没错这只是我们虚空脑补出来的。今天就在全面屏时代以来的这些手机里，好...全文 ,2023-10-21 18:00,1849,530,168
NoTbAdotd,努比亚Z50S黑/青两款配色，骁龙8Gen2处理器，LPDDR5X+UFS4.0，IMX787主摄，5000mAh电池+80W快充，12G+256G售价2198，12G+512G售价2398，你会买吗  原图 ,2023-10-21 16:38,126,4,57
NoKH4BmaJ,lightning接口充电头可以实现“一根线走天下”#iPhone15系列C口的N种玩法# 白问视频的微博视频  ,2023-10-20 19:01,70,14,21
NoKgKBcuo,此时有个小伙伴尴尬的脚趾扣出五室一厅  原图 ,2023-10-20 17:56,96,3,21
NoIOzknOp,疑似iQOO12真机照曝光了大家给几分？  原图 ,2023-10-20 14:14,193,4,50
NoA2eySCF,OPPO Find N3正式发布12+512GB 9999元典藏版16+1TB 12999元怎么样买不买？  [组图共2张] 原图 ,2023-10-19 15:53,34,4,50
NozW6Edsu,OPPO Find N3折叠新机上手体验#OPPO##oppofindn3# 白问视频的微博视频  ,2023-10-19 15:38,48,10,18
NoxUe1Hai,魅族 20 Classic来了新LOGO三款新配色新增16GB内存大家会冲吗？  原图 ,2023-10-19 10:28,56,4,29
Norr9eDl7,iPhone 15系列C口的N种玩法 都在这了！「白问」自从iPhone 15推出之后，网上关于它换新接口的讨论一天接着一天，比如谁不能给它充电，什么线不能用会烧坏，可以用来干嘛等等。本期我们全面实测来个大合集，一次性告诉你他的各种玩法～兄弟们记得点赞！感谢啦！#iPhone15系列C口的N种玩法#...全文 ,2023-10-18 18:00,3585,767,161
NonYOnzib,苹果上架了iPad 10 eSIM版中国联通推出了相应的流量套餐包年套餐有300 元 / 年和 500 元 / 年两个价位分别提供300GB / 年和 500GB / 年的国内流量该套餐关闭了语音和短信功能大家觉得这个套餐价格怎么样？#iPad国行首次支持eSIM#   [组图共2张] 原图 ,2023-10-18 09:11,51,8,34
Noi3fsmxq,「办公室系列」又来啦！这次来看看数码工作室的小伙伴包里都有啥？ 白问视频的微博视频  ,2023-10-17 18:06,103,18,26
No9ayxYaM,软件更新了不喜欢？想回到以前的旧版本，教你一招搞定 白问视频的微博视频  ,2023-10-16 19:29,163,39,28
No6kB0eJQ,2023 vivo 开发者大会官宣11.1将发布vivo自研AI大模型还有OriginOS 4亮相自研操作系统大家都有哪些期待？[举手]  原图 ,2023-10-16 12:16,81,5,29
No5Ov43iR,10月25-26日高通骁龙8Gen3来了[有票了]大家猜一波首发机型？  原图 ,2023-10-16 10:57,80,4,25
NnZlKFfDt,谷歌相机应用更名为 Pixel 相机 Pixel 设备专属  原图 ,2023-10-15 18:29,75,7,15
NnYUlewID,近日海外分析师Jeff Pu透露表示，iPhone16系列将会采用更快的5G基带，支持WiFi7以及新的超广角镜头。与此同时iPhone16系列的屏幕尺寸也会进一步增大，分别是6.3英寸和6.9英寸。  原图 ,2023-10-15 17:22,105,9,24
NnPJ9AaRK,今年双11 我告别了垃圾短信和骚扰电话「白问」双十一临近，平时本就不少的垃圾短信和骚扰电话是越发猖狂，于是我们就决定出一期教程，让你在双十一告别垃圾短信和骚扰电话。记得点赞转发！感谢啦～ 白问视频的微博视频  ,2023-10-14 18:00,1482,414,129
NnNgdvjhq,#水溶C100怎么就成了神水#之前不知道从哪听到的，水溶C100喝了能治口腔溃疡对此深信不疑，觉得很有营养能补充维生C应该也不会长胖，直到某一天看了一下配料表，发现第一就是白砂糖还有果葡萄糖浆[融化][融化][融化]大家平时喝饮料会看配料表吗？  原图 ,2023-10-14 11:43,88,7,32
