微博id,微博正文,发布时间,点赞数,转发数,评论数
N43btmirL,[置顶]第30期 | #为什么国产手机要自研操作系统# 网页链接#知数# 你的数码消费周报👉知数  [组图共3张] 原图 ,2023-06-06 15:29,10,1,3
Nqh7srucN,#拼多多双11订单已收货#♡ 拼多多购物分享 ♡便宜又好穿的棉服羽绒服合集80元的超厚棉服/150元的长款羽绒服太香了！你吉叔的微博视频  ,2023-10-30 14:24,0,0,0
Nqh1yA4D8,【#24年游戏行业投资和收购现象将增加#】10月30日消息，金融分析公司Drake Star今日公布了一份第三季度的全球游戏市场调查报告，认为随着微软成功收购动视暴雪，2024 年游戏行业的投资和收购现象将增加，而各游戏巨头将愈发强大。Drake Star表示，今年7-9月期间，共追踪到33笔并购交易，价值约50亿美元...全文 ,2023-10-30 14:09,0,0,0
NqgT7B1lR,#苹果中国官方首降价# 快科技10月30日消息，由于竞争越来越激烈，苹果中国要顶不住官方宣布降价了。iPhone 15自发布以来，在各渠道接连多次降价，官方渠道也首次出现现货降价。据了解，10月29日起Apple产品京东自营旗舰店iPhone 15至高优惠801元，iPhone 15 Pro也将优惠600元。需要注意的是，在...全文 ,2023-10-30 18:49,0,0,0
Nqgc51WR5,#什么是赛博化妆# 这场“赛博人生，全靠P图”的游戏，最早流行开来的只是电子化妆。大概是某位极具智慧的女生突然发现：化妆是一时的，照片是永久的。照片发到社交平台后，评论区问：姐妹口红有链接吗？回复：修图软件的吸色笔。富贵人生全靠抠图，这届年轻人彻底不装了  ,2023-10-30 17:03,0,0,0
NqfCbDwFl,#鸿蒙4升级设备数量破亿#  上周答应大家试一下鸿蒙的流畅度，特地借了一个朋友的顶配华为P60 Art，已经升级鸿蒙4.0，来试下16个国产毒瘤应用的连续快速“点击”，看看高强度操作下的流畅度（响应速度）不得不说，是我低估了鸿蒙[老师好][老师好][老师好]流畅度确实跟安卓不在一个次元了，...全文 ,2023-10-30 15:34,0,0,0
NqfviDh5B,你可能想象不到，年轻人在社会上挨的第一顿毒打，很可能就在街边的共享按摩椅上。它不仅坑你的钱，没准还能要你半条命。生虫子、污渍、血渍、不明液体......有些共享按摩椅，那属于Buff叠满的病毒陷阱。到底是什么，让共享按摩椅的生意狂飙突进，侵占我们的公共空间？为什么共享按摩椅会产生各种安全和...全文 ,2023-10-30 15:17,0,0,0
NqfpEArZx,#鸿蒙4升级设备数量破亿# 华为 Mate 60 Pro 鸿蒙4 配合新的硬件组合，系统非常流畅。来看测试体验～科技小辛的微博视频  ,2023-10-30 15:03,119,41,82
NqffXqUxl,【建议收藏】2023 11.11手机推荐：这些才是真香机！#我是数码评测家# 大米评测的微博视频  ,2023-10-30 14:40,0,0,0
Nqffy6Kxe,#鸿蒙4升级设备数量破亿# 升级鸿蒙4之后，有哪些变化？趣味表盘、弦月窗提醒、棋盘桌面名称显示...这些功能让这款手表，更像一部智能手机了。且听Phone吟的微博视频  ,2023-10-30 14:39,0,0,0
Nqffv7eyG,华为Mate60 Pro和iPhone 15 Pro各用了31天，哪个更强？#我是数码评测家# 热男HotGuys的微博视频  ,2023-10-30 14:38,0,0,0
NqfeWxNec,【2023年11.11笔记本选购指南：从一超多强到百花齐放】这次的机型应该是历年来最多的！再次强调一下，没有推荐到的机型不一定不适合你，根据自己的需求来选购电脑！#我是数码评测家# @笔吧评测室官博 笔吧评测室官博的微博视频  ,2023-10-30 14:37,0,0,0
NqfdkoFfv,【顶级电竞旗舰！iQOO 12系列来了：首搭首款自研电竞芯片Q1】#新品日报社# iQOO 12系列将于11月7日正式发布，带来iQOO 12和iQOO 12 Pro两款机型。作为主打电竞的品牌，iQOO 12系列将带来更顶级的配置，实现强悍游戏性能。今日，vivo品牌副总裁贾净东为该机预热时表示，iQOO 12系列搭载了首款自研电竞...全文 [组图共2张] 原图 ,2023-10-30 14:33,0,0,0
Nqfc4Ez7s,【小米澎湃OS体验：AI画图有点意思～】小米14系列首发搭载的全新系统小米澎湃OS，作为MIUI的继承者，更作为1.0的初始版本，是真·全面对标iPhone？还是MIUI的小修小补？@白问视频 详细聊聊澎湃OS的改变↓↓#小米澎湃OS评测##我是数码评测家# 白问视频的微博视频 ,2023-10-30 14:30,0,0,0
NqfaUANYd,一个小调查：#你外出就餐会在网上买券吗# ？ #外出就餐会在网上买券吗？  ,2023-10-30 14:27,56,0,0
Nqfadq9Za,#数码产品越轻越好吗# AR、VR、MR、XR，这些年你或多或少都听说过这些概念，这些「R」们是越轻越好吗？哪种设备更适合你？值得在双十一购入吗？李杰灵的微博视频  ,2023-10-30 14:25,1,0,0
Nqf7AipQO,#一个视频弄清自己适合长发还是短发# 突击检查！你现在是长发还是短发？ 你现在是长发还是短发？  ,2023-10-30 14:19,751,2,0
Nqf3c7oDq,#中国6岁女孩打破魔方世界纪录# 一个小调查：你会玩魔方吗？你还会玩哪些益智玩具？ 这些常见的益智玩具，你会哪个？  ,2023-10-30 14:08,48,3,0
Nqe7tDiBM,【机构统计显示：#华为再次成为中国轻薄笔记本市场第一#】据GFK数据统计显示：9月，华为国内轻薄本市场份额占据25.2%份额，同比增长5.7%。而在过去的7月和8月，华为PC同样以近3成的市场份额持续走高，坐稳今年第三季度轻薄本销冠宝座。  [组图共2张] 原图 ,2023-10-30 11:46,0,0,0
