微博id,微博正文,发布时间,点赞数,转发数,评论数
NpKm4wzev,[置顶]【 小米 14 & 14 Pro 开箱：骁龙表现真不错，我依然更爱小 14 】这次开箱视频着重测试了骁龙 8Gen3 芯片在大游戏、常规游戏、和日常应用的功耗以及发热表现，对比了搭载 8Gen2 的小米 13 Pro，今年的骁龙表现真的不错。今年我对于小米 14 更满意，核心是小米刀法温柔，在性能和影像方面整体上和 Pr...全文 ,2023-10-27 08:00,2708,4185,944
Npj1U4LzP,【 iPad 10 eSIM 版开箱：官方剧透 iPhone 16？】这应该是我使用过的第一款 eSIM 的平板/手机产品，所以对这个技术也很新鲜，一开始身份验证信息一直出问题，忙活到深夜才搞定。除了在视频里聊聊 eSIM 技术本身，我认为这款产品的预告性非常强，关于明年的 iPhone 16 Pro 和明年的 iPad 产品线。...全文 ,2023-10-24 10:26,2777,4458,915
NpNPJCYLx,小姐姐问，你是科技博主吗？我说，啊对她说，抖音？我说，对对😅她说，B 站？我说，也是她说，微博呢？我说，都做做（后背开始冒汗）她说，是大博主吗？（打开抖音要搜）我说，小博主小博主，别搜别搜（额头开始出现汗珠）现在我在假装往窗外看风景😀🚅🏞️🌅🌄...全文 ,2023-10-27 16:51,4381,15,622
NpNGItg6w,看我给手机充完电，坐我旁边的小姐姐问能不能借一下我的 iPhone 数据线，她手机要没电了。#小泽坐高铁#我尴尬的说这虽然是 iPhone 数据线，但接口是 Type-C 的我以后出门高低得再带一根 Lightning 数据线！别问，问我就说我叫红领巾😡  ,2023-10-27 16:29,3051,18,354
NpMxJALEQ,牛肉饭 + 铁板大虾 + 煎银鳕鱼 + 刺身拼盘。#小泽吃饭联播#  吃顿好的结束繁忙一周。这家店大虾品质真是不错，虾肉极弹，吃着过瘾。牛肉饭我也很爱，不是普通肥牛，而是那种接近牛肋条肉质口感。  [组图共6张] 原图 ,2023-10-27 13:34,582,5,72
NpL0C6JPM,大家期待的“年年焕新”视频已经拍摄完成，目前正在紧张的后期制作当中，最近这一波新品把我的时间冲的比较碎，实在是比较忙但答应大家的视频本周上线依然不变，就看我后期速度了。今年不管是“年年焕新”还是“以旧焕新”，在政策上都有许多调整，要不是大家提了那些问题，我也没想到会有这...全文 ,2023-10-27 09:39,1668,10,257
NpF4atdHh,感觉好几年没吃饺子了，老边饺子走起。#小泽吃饭联播# 这次除了凉菜，还点了一个酸辣汤。好家伙这个酸辣汤跟脸盆一样大 感觉一家五口都够了啊…我拿个小勺在盆边上喝，感觉自己是一只在河边喝水的小羊🐑图 9 的海带我没点，是店家赠送的？还有这好事？又体验到了出门捡钱的快乐[开学季]  [组图共9张] 原图 ,2023-10-26 18:32,612,5,120
NpEd4cxwp,现在每天真是高强度刷小🍠 今天出门一天有一半时间都在看。小 🍠 目前有几个优势：① 普通用户主动发内容意愿高，不管哪种品类的产品，大家都愿意聊，愿意分享。当然很多内容受限于普通用户的专业知识累计，可能不准确（比如用橘子皮除甲醛之类的）。即使不准确，但情感很真实。而且科学除甲...全文 原图 ,2023-10-26 16:21,3734,95,568
NpCxL48jL,今日午餐：重伤牛肉面 #小泽吃饭联播# 昨天睡前刷短视频馋面了🍜 于是中午来了一份四川牛肉面，为了保证面条口感，要的生面，回家自己煮熟的。加了一份牛肉，一共 16 块牛肉，一直轻伤的牛这次重伤。台湾的红烧牛肉面其实味道与制作方法就源于四川牛肉面，九十年代的流行的李先生加州牛肉面大...全文 [组图共9张] 原图 ,2023-10-26 12:06,607,10,134
NpCfnmlLH,具有中国特色的真人识别谷歌做识别是为了自动驾驶，QQ 邮箱这是要做什么  原图 ,2023-10-26 11:21,1713,40,218
NpBGR36CD,iOS 17.1 更新了。增加了通过联网实现隔空投送的功能。另外随着一起上线的 watchOS 10.1 上，S9 的独占功能双捏操作也终于上线。这个功能评测之后因为我是用正式版固件的原因就没再用过，这次升级之后可以好好体验一下了。双捏暂停闹钟那个感觉在我的使用场景里使用会很多。另外 Shazam 随着这...全文 原图 ,2023-10-26 09:56,996,14,441
NpvK7tBw9,再次开发了一下烧肉馆的菜品。#小泽吃饭联播# 今天尝试的是烤牛小排，今天这个和前两次的牛排和牛肋条相比不太行，肉质不够嫩，又不够韧，烤的还有点老，虽然很香，但比不上之前的。另外保留了烤酸菜，加了一份烤圆葱，发现烤圆葱也比较油腻，下次也不点了，先点了一份生菜倒是很新鲜。菜品的话目...全文 [组图共6张] 原图 ,2023-10-25 18:48,481,3,75
Npuz3gaHj,高通刚发布了最新的第三代骁龙 8 移动处理器，iQOO 12 系列也随即官宣首批搭载。目前最强的安卓 SoC 和 iQOO 自研的电竞向独显芯片的组合的确是「强强联合」。此前简单说过这颗独显芯片主要在于超分超帧并发来提升游戏画面显示效果和降低功耗，而且调校骁龙芯片可一直都是 iQOO 的看家本领，一定会...全文 [组图共3张] 原图 ,2023-10-25 15:48,1011,2809,462
NpuhalFhP,来索尼售后清洁相机传感器。清洁一次是 120 元，时间大概 40 分钟。这次来才知道，原来现在店里除了相机之外，还增加了很多花花草草水果零食，方便用户现场拍照测试。大概 14 15 年那会吧，是我对相机最着迷的时间，那会天天泡相机论坛，没事就往索尼这家店跑，到店里体验相机，省吃俭用买一台 A7M...全文 [组图共5张] 原图 ,2023-10-25 15:03,753,13,114
NpttootNB,大家记得去京东一键价保。双十一提前开启，很多商品价格都有变动，我刚才就保价了 181 块，感觉找到了出门捡钱的快乐[开学季]路径是：我的 —— 尊享客服 —— 价格保护  原图 ,2023-10-25 13:01,589,19,208
Npt5tordF,尝试了一下安格斯汉堡备注多加菜。#小泽吃饭联播# 虽然没有达到板烧鸡腿堡一备注加菜，感觉加一筐生菜进去那种夸张的效果，但也是可以成功加菜。而且安格斯这个蔬菜是真新鲜，咔咔脆。  [组图共4张] 原图 ,2023-10-25 12:02,663,17,160
Npsn8mhaE,最近天气是不是比往年更暖和？这几天北京气温都很高，这还有几天就 11 月了，今天最高气温居然还有 26 度。我看了一下天气预报，数据显示比往年同期平均温度高了 7 度。这几天在家下午那会不开空调甚至有点热。这天气其实非常适合出去玩，但可惜的是连着几天雾霾了。我又看了一下气象博主的微博，...全文 原图 ,2023-10-25 10:13,413,14,169
NpomW8E89,【突发】苹果官宣将于 10 月31 日举办线上发布会。发布会主题：“来势迅猛”。 这次发布时间是北京时间早上 8:00？ 终于不用熬夜了✌️[苦涩]M3 芯片和 24 寸 iMac 很可能会在这次发布会上发布， 13 寸 MacBook Pro 也可能获得更新。 M3 芯片我都不关心，主要是 24 寸 iMac 我真是等更新等了太久...全文 原图 ,2023-10-25 00:01,7496,216,630
Npo3Zs6SW,天猫双11消电尖货来了，预备换新机的同学们请注意！#双11省学指南#一件就降85折起，全网低价不用比。华为Mate60双11预售价5499起，还能叠加88VIP大额消费券！#天猫今晚八点预售#预售已开启，抓紧冲！#天猫双11来了#  [组图共4张] 原图 ,2023-10-24 23:15,446,1970,352
NpmEmzfHC,关于 Apple Watch 把手腕 “低温烫伤” 这个新闻看到好多了，今天正好有同学问，就统一回答一下：智能手表接触手腕的部分出现印记，都是由于表带绑太紧，皮肤出汗不及时透气，进而引发的过敏等皮肤状况。包括苹果在内，小米、华为、OPPO 只要是做智能手表和手环的厂家，小🍠 上关键字一搜都是一...全文 原图 ,2023-10-24 19:39,994,27,295
NpmcwmNgk,之前被内心深处小人儿[举手]好评的烤牛肉今天又点了一次。#小泽吃饭联播# 保留了特别棒的烤酸菜，酸爽嘎嘣脆不油腻。把牛排换成了牛肋条，这个也很好吃，牛肋条里好像是有筋，增加了口感变化，也比较锻炼腮帮子。把烤实蛋换成了烤金针菇，但金针菇这次不太好，太油，吃两口就吃不动了。  [组图共6张] 原图 ,2023-10-24 18:30,477,4,73
NpjEuq8AG,中午吃一枚麦辣鸡腿堡。#小泽吃饭联播# 小时候最爱吃炸鸡汉堡，最多一次吃了三个肯德基辣堡（差点没撑死）。现在为了更好地控制热量，就降低吃的频率，今天一吃果然还是这么好吃[苦涩]另外说到热量控制，之前做了脚部切痣手术，到现在已经三周多，这两天感觉脚接触地面已经可以吃一点力了，希望...全文 [组图共5张] 原图 ,2023-10-24 12:01,635,8,170
NpdggldMQ,来交双11作业了！#双11省学指南# 有不少宝子说想买苹果，天猫双11这边可以看看，带上百亿补贴优惠 128G 的 iPhone 14 到手价四千出头，直降 800 块，这补贴力度还是挺猛的，喜欢的话真的可以冲#天猫双11来了# #天猫双11更便宜# 原图 ,2023-10-23 19:45,1065,3940,737
Npc9fw6HY,iQOO 默默搞大事，将在下一代数字旗舰新品上搭载自主研发的独显芯片，或许是国内第一家推出电竞向自研芯片的手机子品牌。这枚独显芯片的作用主要是在 WQHD 分辨率 (2560*1440) 下，同时实现 144Hz 画面刷新率插帧和超分功能并发，并可同时应用于游戏和视频两个场景，从而达成显示效果提升和高效节能...全文 [组图共3张] 原图 ,2023-10-23 16:55,888,2253,474
Np9p7lp0u,Apple Store 温州万象城店官宣，将于 11 月 4 日上午 10:00 正式开业。这次的城市标语是 “初来温州问声好”。温州拥有专属开店 logo 设计图案，灵感来自温州传统的蓝夹缬印染布艺（雕版印染），这是一种起源于秦汉时期，并在唐宋达到鼎盛的工艺，以温州为中心，向外发展。目前已经是国家级非物质...全文 [组图共9张] 原图 ,2023-10-23 09:55,3160,220,516
Np8QFmqDa,【 彭博社：苹果将在月底发布新款 Mac 】彭博社表示，苹果可能在 10 月 30 日或 31 日发布新款 Mac 电脑。目前可能性最高的是 24 寸 iMac。在此之前，彭博社曾发文表示，如果 iMac 更新，可能会跳过 M2 芯片，直接升级到 M3 芯片。如果 M3 芯片同步更新，那么按照以往的经验，13 寸 MacBook Pro 的...全文 原图 ,2023-10-23 08:31,863,44,218
Np3oC7t2P,晚饭烤牛肉 + 烤酸菜 + 烤实蛋。#小泽吃饭联播# 今天这顿挺好，虽然打着烧烤的旗号，但不油腻，不齁咸，不加猛料，反而是原滋原味的一顿饭。牛肉品质很好，量也很足，吃的挺过瘾。烤实蛋我小时候看很多但从没吃过，长大之后吃过把实蛋炒菜，今天应该是第一次吃烧烤版的，口感是要比蛋清要更老更...全文 [组图共6张] 原图 ,2023-10-22 18:38,659,11,109
NoTXQzGkB,晚餐是沙姜鸡 + 芥兰牛肉 + 番茄鸡蛋牛肉。#小泽吃饭联播# 妈呀连着好几天吃芥蓝，越吃越爱吃啊。我隐约记得以前吃粤式盖饭，最不喜欢的就是米饭上盖那两根绿叶菜，尤其不喜欢那种特别脆的口感。现在逐渐发现了这种嘎嘣脆菜的美感另外是不是在番茄炒蛋里加其他食材也是粤式风格？在粤菜...全文 [组图共4张] 原图 ,2023-10-21 18:37,690,14,118
NoQRdrcah,关于苹果的“年年焕新”和“以旧换新”，大家有哪些关心和想了解的环节？可以在评论区进行留言，我会选择关注度比较高的问题在视频中进行解答。  ,2023-10-21 10:42,1963,26,1039
NoIIl7Zjf,周五下馆子吃顿八合里😋 #小泽吃饭联播# 大中午的五花趾就售罄了，点了三花趾 + 匙柄 + 吊龙。这三个组合是我个人非常爱的组合，如果大家不熟悉潮汕牛肉，可以试试这个组合，对小白食客很友好温和的搭配。特别是吊龙，真的是嫩，百尺不厌。潮汕牛肉这套感觉包装一下非常适合全球市场啊，完全让...全文 [组图共9张] 原图 ,2023-10-20 13:59,987,22,206
NoBflgNro,今日晚餐：蛋黄焗虾仁 + 腐乳空心菜 + 滑蛋叉烧。#小泽吃饭联播# 蛋黄焗虾仁这个热量炸弹，甚至还搭配了蛋黄焗油条这种超级热量炸弹。我吃了一个，好久没吃油条了，真的是罪恶的好吃。腐乳通心菜这个味道也很神奇，我平时很不爱腐乳的味道，但炒这个通心菜发现还不错。滑蛋叉烧很满意，炒通心菜...全文 [组图共6张] 原图 ,2023-10-19 18:58,630,16,91
NoAO83xad,因为我经常给 4 岁的小侄女买玩具，为了表示对我的感谢，她去逛商场的时候特意给我挑了一个礼物 —— 尤达宝宝 我深深感慨《星战》系列的影响力。从五十多年前就开始全球流行，没想到跨越半个多世纪，居然让一个 4 岁的小朋友又为它买单。《曼达洛人》第一季我没看完，不知道这个尤达宝宝是...全文 [组图共2张] 原图 ,2023-10-19 17:51,1260,10,132
NozSM4dIS,【 OPPO Find N3 评测：影像升级之外，折叠屏一大痛点被解决】OPPO 的首款大折叠终于交作业了，这是大折叠诞生五年来，OPPO 真正意义的第一款产品。几乎从硬件的各个环节，都能看到 OPPO 想做一些不一样的改变，包括屏幕、包括扬声器、再到之前我拍摄折叠屏几乎没着重聊过的影像。但在硬件之外，...全文 ,2023-10-19 15:30,4440,8027,1629
NozqDeElM,《马力欧兄弟：惊奇》又一支官方宣传片。没别的意思，就是让大家一起看看 新垣结衣 玩游戏，确实是可爱[开学季] 钟文泽的微博视频  ,2023-10-19 14:20,598,108,78
NorXn57Qu,我刚才问了一下 陆川 导演：作为专业导演，如何看待 Vision Pro 在电影领域的影响？会不会威胁到传统的电影院产业？（他六月在 WWDC 体验了 50 分钟 Vision Pro，可能也是目前国内唯一体验过的导演。）陆川 导演的回答：“我认为 Vision Pro 一定会从电影院分流一部分观众，那种画面、色彩、屏...全文 原图 ,2023-10-18 19:19,1533,329,141
NoryW1sfG,今天三里屯 Apple Store 的 Today at Apple 课程主讲人是导演 陆川。图4 是 陆川 导演介绍在四川拍纪录片《我们诞生在中国》的幕后花絮：“大熊猫轻易不伤人，但一旦伤人，它们受保护 所以我们穿在熊猫的服装里，还需要把服装提前放在熊猫的粪便 💩 当中同化一下味道。”  [组图共4张] 原图 ,2023-10-18 18:19,800,13,86
NopDZDRv0,今日午餐：烤羊排 + 芥兰炒牛肉 + 豆豉鲮鱼油麦菜。#小泽吃饭联播# 哇，我发现这个芥兰怎么越吃越爱吃？而且中间切一刀再炒可以把口感再提升，配合牛肉真是又清爽又好吃。豆豉鲮鱼油麦菜小时候特别喜欢这道菜，但今天吃感觉略油，一对比更喜欢芥兰了。羊排中午吃了两根，剩下的留着晚上吃，实在...全文 [组图共4张] 原图 ,2023-10-18 13:26,590,13,80
NoppTmLpU,在盒马买的法式羊排还有一天要过期了，中午赶紧烤了。#小泽吃饭联播# 都是腌好的，直接送烤箱就行，我下厨房了个教程，预热之后上下 200 度包锡纸烤 30 分钟，然后敞开每面再烤 15 分钟。最后出炉味道好极了，但外边有点焦，下次得再调整一下时间。另外迷迭香最后烤糊了，是不是敞开烤的时候需要拿...全文 [组图共5张] 原图 ,2023-10-18 12:51,699,19,102
NooXj1fhX,13 年前初代 MIUI 视频真的是勾起太多回忆了。那时候我和很多人一样是个普通数码爱好者，听着 友藏 老师他们的数码播客，那会流量太贵，移动端视频还没火起来，也没有今天这么多自媒体。当时感觉 MIUI 太酷了，那个变形金刚的主题至今印象深刻。我记得 MIUI 刚刚推出的时候有个计划，就是要适配市...全文 ,2023-10-18 11:41,988,83,178
Nooo0kKgB,银色的理想 Mega 亮相了。这个颜色比灰色更喜欢，有未来科技感。图2 看第三排很宽敞，图4 这个屁股设计感觉好像外壳是滑进去卡住的。 希望理想能尽快推出一台这个设计的 SUV。  [组图共5张] 原图 ,2023-10-18 10:14,849,27,209
NojjtiEYo,今天就更新了这两个环节，大家最期待的 iPad mini 7 并没有出现。看来彭博社还是比较准...想买 mini 的大家先忘了这款产品，之后彭博社有关于这款产品的消息我再跟大家更新  ,2023-10-17 21:19,1029,14,334
NojfJEMch,除了新的青春版 Apple Pencil，苹果发布了 iPad 10 的 eSIM 蜂窝数据版。这也是大陆地区首款支持 eSIM 的 iPad，将从 10 月 19 日开启预售，10 月 25 日正式开卖。iPad 10 应该主要是来跑流程的，流程一旦跑通，明年的 iPad Pro 以及 iPhone 16 系列就可以取消 SIM 卡槽了。现在比较好奇第一批合...全文 ,2023-10-17 21:09,2404,155,488
NojbMFSGJ,【突发】苹果发布 Apple Pencil （USB-C），价格更低。 新款 Apple Pencil 依然支持磁吸吸附在 iPad 边框上，但不支持磁吸充电。充电方法是笔尾端有一个单独的 USB-C 充电接口。新的手写笔在书写功能上也与目前的 Apple Pencil 2 有区别，不支持压感书写，不支持双触操作，但保留了倾斜笔...全文 [组图共6张] 原图 ,2023-10-17 21:00,2252,121,416
Noitn44o2,任天堂《马力欧兄弟：惊奇》官方宣传片依然是 新垣结衣 来玩游戏，她这个四面采光的工作室上次拍《Switch：Sports》的时候就让人印象深刻。这个广告还主打点小情怀，上来第一句台词就是 “上一次玩马力欧还是小学时代。” 另外还有个细节就是 新垣结衣 玩游戏的时候跳不上去也会整个身子往上推，...全文 ,2023-10-17 19:10,609,108,61
